Topic;ID;Question;Reference;Enviroment;Resolution
;;;;;
Default incident and answer statuses;Answer ID 48;How do the default incident and answer statuses work?;['Answer ID 5168', 'Answer ID 5168'];   Statuses, Customizable Menus Oracle B2C Service;"  Within Oracle B2C Service, there are system-defined statuses for both incidents and answers. Incident statuses are used to indicate whether the incident is still open or if the incident has been resolved. Answer statuses deal with whether the answer is published to the end-user pages or is still private and unavailable to your end-users.  Incident Statuses  When working with incidents, Oracle B2C Service has four system-defined incident statuses: Unresolved, Updated, Waiting, and Solved. In addition, each status is a specific status type: Unresolved, Waiting, or Solved. It is not possible to delete any of the system-defined statuses. Â  It is also not possible to change the status type associated with the four system-defined statuses. Â  That is, you cannot change the Updated status to be a Waiting status type. Adding custom incident statuses: Within your site, you can create custom statuses for additional classification options. However, each of the custom statuses that you define must be set to one of the three status types. To add a custom incident status:  Select Configuration &gt; Application Appearance &gt; Customizable Menus &gt; Incident Statuses Â  Â   When adding custom statuses, you can only specify the status type when you first create the custom status. Â  Once the custom status is saved, you can no longer change the Â status type. If you determine that a custom status should have a different status type, you can create a new custom status associated with the correct status Â type and then search for and reassign the incidents to your new status. Â  Then, you can delete the old custom status. Â  Note: Â  If you delete a custom incident status any incidents associated with that status will revert back to the default status of the same status type. Â  Â For example, if you delete a custom status that is a waiting status type, all incidents associated with that status will revert to Waiting status. Â  Â It is recommended to confirm there are no incidents associated with the status you want to delete before you delete it. The default incident statuses are described below:        Unresolved: This is the default status for new incidents submitted through the application, for example incidents submitted from the Ask a Question page or via email. This indicates that the incident has been created. The status type is Unresolved. Â            Updated: This is the default status for existing incidents that have been updated by the customer, either to add more content to the initial incident that is still unresolved or when the customer updates an incident based on a request from a staff member. Incidents updated by other staff members do not automatically change to an Updated status. The status type is Unresolved. Â            Waiting: This status indicates that a staff member has responded to the incident and believes the answer will resolve the issue. If the end-user does not update the incident within 48 hours (by default), the incident status automatically changes to Solved. The status type is Waiting. Â            Solved: This status indicates that the issue has been resolved and no further action is necessary. The incident remains in the system for historical purposes. Incidents can be set to Solved manually or the system will change the status of Waiting incidents to Solved based on the values of the CI_HOURS and CI_WAITING_CALC_DAYS configuration settings. The status type is Solved.        Customizing default statuses: Within Oracle B2C Service, you have the ability to edit the names of the default statuses. However, notice that the status types are grayed out. As a result, regardless of how you rename a default status, it will always function based on the status type assigned. For this reason, do not rename default statuses to coincide with a different status type. Instead, create a new custom status and set the appropriate status type when you create the custom status.  Unresolved status types: Typically, when working with incidents from your administration pages, there is at least one view that lists the incidents with an Unresolved status type. This type of view would include incidents that have an Unresolved status or an Updated status as well as incidents assigned to custom statuses with an unresolved status type. This allows staff members to easily view open incidents that need to be worked. Status types are most useful for allowing you to group incidents with different, but similar, statuses together. Reports often use filters based on the status type so that all incidents with an unresolved status type are included in a report. Similarly, a report might include all incidents set to a solved status type within a specific time frame, such as the last week or month. Statuses allow for greater classification within your application, while status types allow the system to act on incidents in a consistent manner. A typical incident may change statuses as follows based on end-user and staff activity:  The end-user submits an incident from the Ask a Question form. The status is set to Unresolved. Â    A staff member replies to incident and sets status to Waiting. Â    The end-user replies to the incident to provide some additional information. Status is automatically set to Updated. Â    The staff member replies again to address additional information and sets status to Waiting. Â  Â    The end-user is satisfied with response. At this point, the end-user can set the status to Solved from the Account - Questions page. Otherwise, after the time specified in the CI_HOURS configuration setting has passed, the incident automatically changes from Waiting to Solved.  Within your business processes, you must determine when incidents should be set to which statuses (including custom statuses) and then train your agents when to use which status values when they send responses. For additional information, refer to the 'Add or Edit Incident Statuses' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.   Answer Statuses  With Oracle B2C Service, there are four default answer statuses (Public, Private, Proposed, and Review) and two status types (Public and Private). By default, the Private, Proposed, and Review statuses are a private status type, which means they are not visible on the end-user pages. Only answers that are set to a status that has a public status type are eligible to be viewed from the end-user pages. Note: Just because an answer is assigned to a public status type does not mean it is viewable on the end-user pages. Answers used with privileged access are set to a public status type, but the access level may be set to a privileged level that not all users can access. Similarly, an answer may be assigned to a product and/or category that is not visible to the end-user pages and the answer would not display on the end-user pages. You cannot delete any of the four default answer statuses. You can change the status type of the Review status so that it is a public status type. Â  You cannot modify the status type of the Proposed, Private, or Public statuses. Adding custom answer statuses: Â  Within the application, you can create additional custom answer statuses that you need. Each custom status must be set to be either a public or private status type. Custom statuses allow you to classify answers into more specific statuses, while the status type specifies whether the answer is eligible to be viewed from the end-user pages. To add a custom answer status:  Select Configuration &gt; Application Appearance &gt; Customizable Menus &gt; Answer Statuses  When working with answers, the system-defined answer statuses are:        Private: This is the default status for new answers manually created from the administrative pages. In addition, new answers default to the Everyone access level. The status type is private. Answers assigned to private cannot be viewed from the end-user pages, regardless of the access level and product and category visibility for the answer. Â            Proposed: Answers that are newly proposed from an incident (by clicking the Proposed button when editing or viewing an incident) have a Proposed status by default. This is a private status type. Â            Public: This is the default status that allows answers to be viewable to all end-users or to privileged access users. The status type is public. Â            Review: If the AR_DATE_ENABLE or AR_AUTO_ENABLE are set to yes, answers may automatically be updated and have their status changed to review. The AR_DATE_ENABLE setting allows you to set a specific review date for the answer, at which time the status changes to Review from whatever status it is set to. With AR_AUTO_ENABLE set to yes , the application automatically sets the answer's status to Review if the score of the answer is decreased over time (due to lack of use) to be zero. By default, the Review status is a private status type.        Within your business processes, you must determine whether additional custom answer statuses are warranted and when answers should be assigned to which status. For additional information, refer to the 'Add or Edit Answer Statuses' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Advanced features in a published answer;Answer ID 53;What are some of the advanced features or capabilities that a public answer can contain?;['Answer ID 55', 'Answer ID 2309'];  Answers; Individual, published answers can contain several features and formats that are coded using HTML. To include the appropriate HTML code, you can use the HTML editor in your application or you can manually add HTML code to your answer. For more information on adding HTML to your answers, refer to Answer ID 55: Using HTML in an Answer. In Design mode, the Toolbox provides easy access to add common features to an answer. Common features that can be included in answers are: Answer Links -- links directly to another published answer on the end-user pages.  Â  Conditional Sections -- allows you to display specific content within the answer to privileged users. For more information, refer to Answer ID 2309: Adding Conditional Sections to Published Answers.  Â  Hyperlinks and Images Â -- link to and display URLs hosted on a web server.  Â  Other HTML Features -- include common HTML features such as tables, horizontal rules, and text formatting.  Â   
;;;;;
Using HTML in an answer in 18A and newer;Answer ID 55;How do I enter HTML into an answer so that it renders when viewed from the end-user pages?;['Answer ID 10205', 'Answer ID 5168'];   HTMLÃ‚Â Answer Content Oracle B2C Service, version 18A and newer;"  When working with answers, the HTML editor is always enabled for use. Â  For the Question and Answer tabs of an answer, you can click the Source button Â to toggle between the HTML editor and the underlying source HTML code. Note: Access to the Design and Source modes can be enabled/disabled at the profile level. Â Assign Service Permissions Â for more information. In the design mode, you can create dynamic, well-formatted answers without previous HTML experience. You can include special formatting in your text and add graphics, links, and other HTML features. The HTML is written automatically as each option is added. For more information on the various options in the answer editor toolbar, refer to Â Answer Editor Features. Using source mode (select the Source button), you can create answers using HTML source code. In version 19A and newer, the editor displays your code in colored text to indicate structure and syntax. Note:  Â If you put code into the answer solution source mode that has an html head and/or body tags in it, you will receive the message: ""Solution. Â  Â You cannot save answer content as a full HTML document. Â  Â Either remove HTML tags manually or switch to Graphical mode for automatic cleaning."" This is because the answer HTML will be embedded on a page that already contains the html, head and body tags. Therefore, to have these tags also in the solution would cause 2 copies of these tags to be included in the page source. This can cause display problems and is a security risk. To save the answer, select the Source button again to return to design mode and these tags will automatically be removed. You can also manually remove the html, head and body tags from the source mode. For additional information, refer to the 'Adding HTML Answers' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products. Note: Oracle B2C Service Technical Support staff do not provide support for HTML coding issues. For assistance with HTML issues specific to your site, please consult the Webmaster for your site.  If it is determined that the site customization has resulted in a loss of system functionality, Oracle B2C Service will assist users, without charge, to restore their system to the initial installed configuration. Any additional assistance may, at Oracle B2C Service's discretion, be provided by our Oracle Consulting group subject to standard consulting fees."
;;;;;
Enabling and customizing the Support Home page;Answer ID 58;How can I enable and customize the Support Home page?;['Answer ID 1960'];  Customer Portal, End-user Pages;" Within the Customer Portal (CP) end-user pages, the home.php  Â file defines the functionality of the Support Home page. Staff whose profile allows access to the Customer Portal Studio can edit and customize Â the home.php file. This includes adding or removing widgets, text and features from the file. The path to access the home.php Â file is: euf/development/views/pages. The layout of the page is defined by the stylesheets used with your CP pages, which are accessed from the views/templates directory. To disable the Support Home page in the CP pages: Â  You must remove reference to the home.php file from other files and templates. In addition, you must set the default Home page to be another page in your CP pages. Remove references to the Home page. Â  Â The default CP files include a tab for the Home page in the navigation bar. Â  Â By default, the buttons across the top of the page is defined in the rn_standard.php and the rn_standard_account.php Â templates. Â  Â Edit the templates to remove reference to the home.php file. Â   Â  If you have customized other pages to link to the Home page, you must edit those files as well to remove the link to the home.php file.  Â  Set the default end-user page to be another page. Â  Â Set the CP_HOME_URL Â configuration setting to another of your CP pages. Â  Â Some widgets include a redirect function to Home page. Â  Â  Â By setting the default home page to another file, the user is directed to the page you define. For example, you can set the CP_HOME_URL setting to answers/list so that when users log in, they are directed to the Answers List page by default. The access this setting, select Configuration from the navigation area &gt; Site Configuration &gt; Configuration Settings &gt; search by Key. Â  Â  For more information on accessing the Configuration Editor and editing settings, refer to Answer ID 1960: Editing Configuration Settings."
;;;;;
Standard reports in Oracle B2C Service;Answer ID 68;What are the standard reports in Oracle B2C Service?;['Answer ID 5168', 'Answer ID 1796', 'Answer ID 1917'];   Analytics, Management Reports;"  Oracle B2C Service includes several standard reports for your benefit. These reports include a wide range of information that have been pre-defined to give you insight into usage and performance regarding your site. These reports allow you to gain insight as to how your site is being utilized by your customers and how effectively staff members are working in your applications. Many reports offer a unique presentation of data, and some reports contain similar information presented in different ways. Report output can be in either graphical or tabular form.  Â   Catalog of Reports Â  Beginning with the May 2013 release, a new component is available to help CX Â administrators view information about reports. The Report Management component Â provides access to a set of Â standard reports intended to help CX administrators track information. With this, you can produce a Catalog of Reports that displays the report descriptions of the standard reports you are interested in. You can find and add the Report Management component to your navigation set as follows:  Click to enlarge image From Report Management, you can generate a Catalog of Reports using these steps:  1. Analytics Â button &gt; Report Management 2. Expand the Definition folder Â  3. Double click on View Report Descriptions 4. In the search window that opens, select the reports you want to view NOTE: By default, all reports are selected, but since this is a required filter, you need to specify the reports you are interested in. You can select all the reports in a top-level folder by selecting the check box next to the folder. 5. Click the Search button to run the report  For additional information regarding this component, refer the 'Management Reports' section in online documentation for the version your site is currently running. Refer to the 'Producing a catalog of reports' section for information on that feature. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products. Additionally, the Oracle B2C Service Customer Community forum contains dedicated threads for Reporting and Analytics for Service so that Oracle B2C Service users can discuss Analytics topics in more depth.  Scheduled Reports  Staff members can be subscribed to receive reports on a regular basis. You can also subscribe non-staff members to receive report subscriptions on a regularly scheduled basis. For more information on report subscriptions, refer to Answer ID 1796: Subscribe People to Receive Reports.  Â   Caching Report Data  When Â using the reports feature in Oracle B2C Service, you should understand caching and how it affects your report data. For additional information, refer to Answer ID 1917: Cached data used in reports"
;;;;;
Searching for answers with links to other pages;Answer ID 72;Is there a way to find or search for the answers that will be affected when those target pages are moved?;['Answer ID 307'];   Answers, Analytics  Issue   We have published several answers that include links to other web pages in our site. We would like toÃ‚Â findÃ‚Â the answers that will be affected when those target pages are moved.;"  The best solution to find all answers that contain a specific URL/target is by using the search feature to search the contents of your answers. Since each word within an answer is keyword indexed, you can do a keyword search on the text that you use to have the customer access that URL. Â  Â That is, search on the text that is used in the link itself. The results will bring back all of the answers with that URL in it, you can then edit each answer and make the proper corrections to the URL. Note: a URL that begins with ""https://"" will not be indexed and therefore will not be included in search results. If you use the &lt;answer_xref id=""y"" /&gt; format Â to link to other answers, there is no current means to search for all answers that include a link using these formats. For example, searching on ""answer_xref"" does not return all affected answers. Â   Custom report: Â You can create a custom report that lists the contents of your answers. Then, export the contents and evaluate the contents in another application. For example, you can export the data into Excel or similar application and set up filters to list which answers contain ""answer_xref"". For more information on creating a custom report with answer content in it, refer to Answer ID 307: Printing and Reporting All Public Answers  Â  Keywords: For this situation, however, you might consider adding a special keyword to the answer, such as ""extlink"" for an external link or ""intlink"" for a link to another answer. With this approach, the extlink or intlink will be indexed when the answer is saved and when you search on one of those words, you can view the list of answers that have an internal or external link.  Custom field: Another approach is to create a custom answer field for the type of link included in the answer. For example, you could create a custom menu field named Included Links with the following menu items listed: No Link, Other Answer, Other URL, and Both Answer and URL. In this way, you can search for your answers by how the custom field is set."
;;;;;
Exporting reports into another format for analysis;Answer ID 75;Can I export reports from Oracle B2C Service into another format for analysis?;['Answer ID 5168'];   Exporting Report Data Oracle RightNow Analytics Cloud Service;  It is possible to export report information from Â the Oracle B2C Service application into a format that can be used in other analysis software. Data from both custom reports and standard reports can be exported. You are able Â to export more than the first page up to 100,000 rows, however, this ability is not available if the report is queued. You can only export one level of data at a time. That is, if your report includes multiple drill-down levels, you will only export data for the level that you are viewing. The export function does not automatically export all data for all levels and options in the report.    To export data from a report, Â use the steps below:  Generate the report of interest.   From the tool bar, click the Report tab.   Click the Export button.   Select the appropriate format: Â HTML, PDF, Excel, Â XML, Image, Clipboard Â or Delimited. Â   Â  Note: Â  In order to export to Excel, you must have Excel 2003 or later releases, Â due to a change in design that takes advantage of XML parsing that is available in Excel 2003 or later releases.   When you select an option, the Export Options window allows you to specify where the exported file is saved and the opportunity to launch the application associated with that file.  Notes: Â  Â  Ã¢â‚¬Â¢ Â  Exporting to HTML: When you select HTML, selecting relative formatting will create a report that will display correctly most often due to browser support, while absolute formatting will be more precise when the viewer uses a browser that supports that type of formatting. Ã¢â‚¬Â¢ Â  Exporing to Excel: When exporting in this format, the version of Microsoft Excel installed on your workstation is automatically checked and the report is exported as an .xls or .xlsx file depending on the version. When exporting a report with text areas to Excel, it is difficult to determine where to place the text fields. This is because the Oracle B2C Service Analytics engine records the location of the text area with absolute positioning (for example, we might place the upper left corner of a text field at the 13th pixel from the left and the 42nd pixel from the top) however Excel will only allow us to specify which cell in the grid we should place the text in. Therefore, although we do our best to try and place the text appropriately, it may not be placed in the same position that it was in the report. If you would like to see the text areas exactly as you have entered them in the report, you must export the report to a format Â  Â that supports absolute positioning (such as HTML).  For additional information, refer to the 'Export report and dashboard data' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Using 'OR' logic with business rules;Answer ID 84;Can I use OR functionality for menu items when I create business rules for incidents?;['Answer ID 1041', 'Answer ID 5168'];   Business Rules Oracle B2C Service;"  You can create rules that use OR criteria within the rule. This includes both selecting multiple items from a drop-down menu (product 1 OR product 2 OR product 5) and specifying an OR relationship between two separate fields entirely, such as if the incident contains specific text in the summary OR if the incident is assigned to category 3.  Multiple Criteria for Drop-down Menus  You can create rules that allow for multiple criteria when using a menu field in the IF part of the rule. This allows you to route or escalate Â records for multiple items listed within the specific drop-down menu options. For example, you could set up a rule to route Ask a Question Â incidents to a particular group if the submittal was set to category 1 OR category 2 OR category 5. When setting up the rule, click the Add Condition Based On button and select the appropriate field. A box listing all menu options appears. Use the Control key to select multiple items or the Shift key to select a range of items. If using the product or category field, check the appropriate boxes to set the criteria of interest. If you have sub-products or sub-categories defined, you can expand the sub-items to select specific values individually.  Between Individual Criteria Listed  You can also define OR criteria between the individual criteria listed in the IF part of the rule using the Logical Expression field. Note: Logical expressions are Â also used with custom reports. For more information on logical expressions, refer to Answer 1041: Using the Logical Expression Feature. For example, you might want to route incidents to a specific group if the product field is set to Product A OR if the category is set to Category 3. To do this you would set up the IF part of the rule as defined below: IF 1. Incident.Product equals Product A 2. Incident.Category equals Category 3 Logical Expression: 1 | 2   Use of Parentheses  Within the logical expression string, the use of parentheses is very important. If no parentheses are included, the criteria are evaluated solely by the order listed in the Logical Expression box. For example, there is a significant difference between expressions A and B below:        Expression A: 1 &amp; (2 | 3)       Expression B: 1 &amp; 2 | 3     Without parentheses, comparisons are made strictly by the order the criteria are listed. As a result, the expression 1 &amp; 2 | 3 corresponds to (1 &amp; 2) | 3.  With expression A, an item matches if criteria 1 is met Â AND either criteria 2 or 3 is met. Â  No matter what, criteria 1 must be met. Â    With expression B, an item matches if criteria 1 and 2 are met OR if criteria 3 is met. If criteria 3 is met, it does not matter if 1 or 2 are met.  That is, the first comparison determines incidents that meet criteria 1 and criteria 2 (that is, incidents assigned to Product A and Category 1). Then the second comparison is made -- OR criteria 3 (that is, incidents assigned to Category 2). Without parentheses, incidents assigned to Product A and Category 1 meet the criteria, and all incidents assigned to Category 2 also meet the criteria. In this case, the report would list all incidents assigned to Product A and Category 1 along with all incidents assigned to Category 2 (regardless of product).  For additional information, refer to the 'Business Rule Logical Expressions' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
